file                 size(bytes)     sender_ms     receiver_ms
----                 -----------     ---------     -----------
hello.txt                     12          2425            7163
hello.txt                     12          2357            3098
a.zip                      2,832        374741          458067
square.png                 2,850        359828          523875
star.jpg                  12,634       1050986         1703997
a.out                     16,376        291478         2562745
hello.txt                     12          5961            6404
hello.txt                     12          1630            4249
hello.txt                     12          1674            4256
hello.txt                     12          2862            4717
a.zip                      2,832        317477          376135
square.png                 2,850        231925          384980
star.jpg                  12,634        905142         1864901
a.out                     16,376        455005         2896174
hello.txt                     12          1327            1749
a.zip                      2,832        311434          368873
square.png                 2,850        233036          374074
star.jpg                  12,634        873179         1808843
a.out                     16,376        293757         2777822
hello.txt                     12          1330            1924
a.zip                      2,832        282288          344758
square.png                 2,850        224223          359629
star.jpg                  12,634        925798         1695242
a.out                     16,376        286133         2596699
hello.txt                     12          1425            6005
a.zip                      2,832        333607          356957
square.png                 2,850        230879          357003
star.jpg                  12,634        953758         1800528
a.out                     16,376        297096         2518986
hello.txt                     12          1473            2109
a.zip                      2,832        308271          352129
square.png                 2,850        223881          379606
star.jpg                  12,634        935673         1710259
a.out                     16,376        300650         2584352
hello.txt                     12          3125            3019
a.zip                      2,832        325932          381438
square.png                 2,850        233542          386506
star.jpg                  12,634        946931         1707835
a.out                     16,376        299277         2529463
hello.txt                     12          2643            2353
a.zip                      2,832        340846          361371
square.png                 2,850        234790          373291
star.jpg                  12,634        869944         1718739
a.out                     16,376        295043         2473812
hello.txt                     12          2580            3090
a.zip                      2,832        292234          362391
square.png                 2,850        231642          370249
star.jpg                  12,634        926629         1673919
a.out                     16,376        288903         2540895
../sample/hello.txt            12          1896            3617
