id,name,score,timestamp,category,value
4943,wtwGTiHD,18.38,2026-07-05,C,5953.68
77373,tFubGXqQ,86.42,2026-12-26,C,8017.04
96449,eQAcoPNo,52.05,2026-04-09,A,1401.90
51429,bhzdhwlG,64.48,2026-02-20,C,3306.56
54969,YjGeKxbD,52.44,2026-01-03,B,4427.01
16888,MOLnuAOv,41.06,2026-08-21,C,8793.70
79526,WQSKoMlC,20.27,2026-12-10,C,7280.97
37802,tofKgcaW,33.18,2026-09-13,A,4779.14
6052,ZtRqCumD,91.05,2026-11-23,B,4093.32
39006,gtecINLQ,22.51,2026-04-17,A,8007.54
37575,wFNwatSl,40.74,2026-02-05,C,5871.00
69933,MdDCqiIj,5.01,2026-01-26,B,5651.06
73257,KGzfqIfw,27.53,2026-12-10,A,2491.36
18848,uiQNJURZ,14.54,2026-09-26,A,465.56
39178,mbIFEjha,48.61,2026-11-10,B,2049.88
59286,tPoLuWdq,43.89,2026-06-27,D,1095.98
2460,fyRoqqCv,80.88,2026-06-11,A,2770.25
18150,LvBbyYrc,44.58,2026-06-26,A,4288.33
80974,pfLjNygc,27.42,2026-07-07,D,9210.22
71184,HOZXglJv,28.50,2026-05-18,B,7824.40
32346,WjvGTEAV,90.57,2026-04-14,B,5905.83
18199,IodrOmCT,76.33,2026-10-21,A,5937.81
92393,MsVFsRrS,99.75,2026-03-15,B,2828.43
95843,jmJICfOR,47.75,2026-01-21,B,8877.56
30728,ZRPvYxSQ,1.95,2026-09-01,D,7079.96
93629,xyRLPPkj,13.49,2026-03-14,B,1195.35
28514,ndQCcxFm,49.75,2026-08-18,A,1228.24
93616,lBJSqvCo,6.84,2026-04-09,C,4237.59
88033,QdfuBsza,4.11,2026-11-25,D,9019.05
18493,ZmIqqNkW,73.20,2026-10-09,D,5117.51
6455,ltDJzpbg,42.95,2026-10-28,B,3066.15
59353,VXiqaTXV,79.13,2026-03-04,B,4731.67
52405,OLLKbIQE,33.73,2026-02-23,B,2978.98
65512,OrKwVsMK,78.58,2026-06-25,C,1955.03
98506,NItFPHTP,24.09,2026-08-27,C,4511.12
62134,kZqHhxoZ,33.35,2026-10-12,D,583.43
58097,EWLnnNDK,39.32,2026-02-01,D,3727.27
99145,jJPWjnaO,42.93,2026-01-28,B,8635.77
53093,hylvePbQ,41.97,2026-04-12,D,5761.30
32218,aQgVEBde,94.25,2026-10-01,A,7387.01
9731,swQdnaql,62.44,2026-03-02,A,4467.21
78340,FcIBzEqu,97.18,2026-08-03,B,4462.00
42330,lvRvYmjb,37.40,2026-06-11,A,3211.25
82476,yEHEdaTv,63.21,2026-07-13,A,1460.48
91131,aYhLmQqS,68.62,2026-10-04,A,5716.32
52985,sfBNXhid,83.48,2026-12-03,D,4303.65
52346,ZpCofaWP,51.23,2026-03-28,D,4524.61
84525,DaaExUBo,81.01,2026-06-15,D,1606.33
41367,SwEEkTkz,78.84,2026-06-28,A,2502.10
11264,gNuxWzhq,61.66,2026-08-04,C,6980.34
67049,nfVGIDWs,7.66,2026-11-25,A,6512.62
19508,ZIRzQity,85.29,2026-09-02,D,8065.67
20848,qiduzqpB,32.81,2026-03-09,B,9627.89
53842,xqZuIVFx,26.18,2026-01-14,D,303.61
96488,fTewAHVT,20.83,2026-07-14,D,3420.20
17376,FCMEjTIs,49.67,2026-11-03,C,3140.93
31562,McZgGQTD,53.65,2026-10-23,D,5058.18
19839,bxWpISGd,87.54,2026-05-25,D,9854.28
43385,tTisFIzs,54.09,2026-02-04,A,9787.71
22924,SPCrbOQV,12.74,2026-06-25,C,7548.94
93898,ekLIhfnh,1.22,2026-07-20,B,5229.04
83057,klynmdje,95.44,2026-09-19,C,369.35
64421,aOUJUBGB,99.12,2026-08-05,D,7988.90
47069,zfTDIQPl,61.96,2026-11-05,B,2730.33
2251,lzPQsCfK,36.73,2026-07-13,C,9570.72
90326,sXMfitIn,56.65,2026-07-13,D,6812.95
6612,OXcBXbfG,40.25,2026-03-07,C,6004.63
20406,wuJtBVQB,76.05,2026-09-04,C,2667.94
82391,iHqISeMm,81.58,2026-08-04,A,2776.12
33449,UFnjCOSW,97.45,2026-10-18,C,3746.62
50243,zNBVazyt,53.28,2026-02-04,A,3579.24
31134,vBZbrVLo,29.87,2026-12-19,C,7873.77
27482,yqaWnVLu,52.64,2026-07-08,C,6459.51
11410,JdKIPJce,11.70,2026-09-05,A,5854.52
15469,sYHftiNL,49.90,2026-09-04,A,6123.36
82937,FGkjUmXT,72.92,2026-04-01,A,789.32
12488,yabGzOKl,78.84,2026-03-21,C,122.01
79869,MawvVPgp,39.15,2026-07-09,A,527.88
58372,ObemTThl,11.36,2026-11-12,B,9130.46
2427,CBTUaVcF,17.91,2026-06-02,B,5840.01
35606,uYrMTvOB,34.16,2026-12-26,A,5603.85
85772,WtpRvtYF,34.20,2026-05-21,B,2310.38
85529,DZMANceQ,16.45,2026-05-01,A,152.63
74143,dMybMVgP,90.88,2026-08-27,D,3342.72
50856,TUDkkMbe,6.46,2026-08-28,D,9932.11
14861,UVFwFIXp,72.74,2026-06-09,C,5303.02
42248,PwFWQnIJ,31.70,2026-11-16,A,8781.75
29499,xHSsUAch,93.22,2026-01-08,D,7744.28
9277,kOhbKUtu,50.50,2026-07-06,A,5054.61
32192,eZQVUwZi,21.06,2026-11-27,C,4563.57
95249,NEeyVnqg,97.48,2026-01-06,A,8948.18
39557,yuhqPFqf,48.01,2026-10-27,B,345.97
87438,WvDtQPeO,20.24,2026-12-26,C,3531.99
14865,iBIiqDRq,51.95,2026-08-17,D,736.48
66628,OfbUQWRp,53.51,2026-09-04,B,6966.45
3008,pCTcLlLA,6.63,2026-11-19,A,8391.97
60167,gTQPNEvl,62.59,2026-03-18,D,7333.95
68930,YYehnurk,90.90,2026-02-03,D,4336.40
43548,nrmNOYVr,60.34,2026-04-16,A,5614.56
14560,vfUzOIMw,15.23,2026-11-07,C,8002.59
34353,WvPyunyt,17.32,2026-12-09,D,1976.19
23426,yYPHhSKg,5.57,2026-12-27,A,3222.64
31451,lRHFoVkO,39.33,2026-06-22,B,699.24
73894,goomupcv,3.15,2026-12-21,A,2999.27
8670,KdMWxWnB,79.50,2026-05-21,B,627.93
95150,OhnBybqi,92.74,2026-12-19,C,4154.93
43111,wYxFGkzn,49.20,2026-01-28,C,4223.35
23689,OcXruSMm,81.35,2026-02-25,C,8060.67
2886,TvpsSiew,1.99,2026-06-09,D,2873.47
99976,JxkpdyuX,17.97,2026-03-16,A,2717.34
11247,KSomLGey,53.93,2026-11-02,C,9913.89
78792,KshPjcdj,40.51,2026-02-26,A,4921.00
4482,XijPXvHM,93.48,2026-04-14,A,278.90
73544,foDKfyae,84.99,2026-03-21,D,9261.85
27718,tjuLrQNU,65.21,2026-11-11,C,3354.87
8004,nUrLosua,97.31,2026-10-01,D,5747.65
40211,GegZSauJ,6.43,2026-11-17,A,238.70
60869,jdcnyMaT,7.61,2026-03-24,D,5008.88
37510,rpBBzOJC,52.40,2026-06-09,C,1884.44
93833,OXiTtPkC,54.53,2026-01-17,C,1731.86
99669,iOTUufIN,72.80,2026-06-20,B,3318.87
20347,YMrEwIom,50.12,2026-05-12,D,3650.35
29525,YywDvEZp,86.72,2026-10-08,B,2083.16
59495,IgUlOnLY,75.80,2026-06-17,B,7848.97
38324,YNvHEZTd,90.42,2026-07-12,A,7972.73
60676,aUCSkkoy,16.95,2026-06-19,C,2657.51
6470,nXgzZyLY,78.12,2026-04-21,B,5095.67
79262,CNtfmufB,59.40,2026-05-12,B,3224.78
27707,MpOgjrCG,28.32,2026-04-27,C,8135.49
9601,dpZwIZhd,9.66,2026-05-19,D,9215.17
26555,PQiRErAC,22.31,2026-06-21,D,9455.04
23619,mkXUlAeU,74.98,2026-06-28,C,4431.73
83414,VaFHqCvl,85.55,2026-09-06,B,1559.69
60702,jGzUnwhA,0.44,2026-08-09,A,3434.33
32446,QKdHKmol,83.76,2026-03-10,B,4166.06
48928,LzUZUoHa,72.39,2026-08-27,B,6537.78
60954,KalBjoFl,40.26,2026-07-01,C,1413.63
55386,XMgjmfVa,47.67,2026-05-14,A,9072.82
48937,FRlsGwHH,65.84,2026-03-24,A,59.22
90638,AYZoEcuM,23.73,2026-02-09,B,173.96
52633,KLCsrrlU,6.83,2026-03-23,D,6178.31
79276,jgPijxbX,53.63,2026-01-17,A,4630.32
98006,zNxEUBIX,56.50,2026-02-14,A,1254.89
42428,twOnPlwg,21.96,2026-04-11,D,2048.86
70990,LWfjGVij,54.01,2026-02-14,C,3112.48
57361,pGCRigtF,46.87,2026-06-27,C,2986.03
99404,WMTFvqhH,98.12,2026-06-18,D,1582.69
92349,HVkBXGdK,68.16,2026-12-16,C,8399.82
89408,oPxUXCpE,61.08,2026-09-03,B,4484.74
3852,hwcCOfsc,29.99,2026-06-04,D,3207.68
33750,AJjQgwSF,73.27,2026-09-13,B,1926.75
79727,FWMPBgwQ,91.90,2026-08-22,C,4719.46
33576,AjmNteip,33.03,2026-07-19,A,2415.27
85271,hMQrzBDV,91.36,2026-08-21,D,4750.69
90420,WBFHpiSK,43.01,2026-09-13,C,2904.57
89819,rAjzwlRt,65.65,2026-05-13,C,6611.25
24487,PoWIktqz,2.41,2026-11-28,D,1732.28
14717,PYXZgDJf,28.83,2026-04-24,B,4235.34
67864,njVKPJrP,96.04,2026-06-07,A,2794.24
63756,EAxzmnGU,89.91,2026-12-20,C,722.59
22322,cRsAzmxv,31.64,2026-01-24,A,8015.62
28435,wfZESNuL,47.58,2026-02-11,C,5765.52
22101,gFatHhxn,32.61,2026-07-17,A,2710.42
40698,kqvqKwKG,33.53,2026-02-05,D,8919.92
33774,OKvPVLOV,46.32,2026-04-08,A,7896.92
29783,yGlnpMev,71.40,2026-01-23,A,4233.81
94228,LuIiPCnU,25.79,2026-04-21,B,1424.65
68427,QFCKulzj,63.80,2026-10-28,B,3446.72
90259,grTiGKFg,2.36,2026-01-03,A,1447.03
5199,UTfTScZt,8.65,2026-02-08,D,802.56
95170,wHzgPhvL,13.96,2026-11-14,B,5688.93
23640,MHVLcATi,83.01,2026-04-09,A,8961.58
1137,uEvkSjIh,81.48,2026-12-12,A,9801.33
45185,uwOPziCV,25.82,2026-10-17,D,9830.78
44391,LQIqCMcj,90.68,2026-11-21,B,556.46
46401,BLZKvNMy,59.80,2026-03-16,A,3495.62
